jqcy,#genre#
平潭新闻综合,http://nas.jqcykj.com:88/gdy?id=pingtanxwzh
平潭旅游文化,http://nas.jqcykj.com:88/gdy?id=pingtanly
兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8
女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
世界地理,http://207.56.13.146:81/cdnlive/sjdl.m3u8
卫生健康,http://207.56.13.146:81/cdnlive/wsjk.m3u8
文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
怀旧剧场,http://207.56.13.146:81/cdnlive/hjjc.m3u8
风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8
风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8
央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8

中央新影-老故事,http://nas.jqcykj.com:89/live/lgs_2000.m3u8
中央新影-中学生,http://nas.jqcykj.com:89/live/zxs_4000.m3u8
中央新影-发现之旅,http://nas.jqcykj.com:89/live/fxzl_2000.m3u8

CHC高清电影,http://nas.jqcykj.com:89/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://nas.jqcykj.com:89/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://nas.jqcykj.com:89/live/jbtygqCHCjtyyH265_4000.m3u8
重温经典,http://nas.jqcykj.com:89/live/CWJD_4000.m3u8

CCTV6电影,http://nas.jqcykj.com:30/624878396
CCTV6电影国内,http://nas.jqcykj.com:88/1905/?id=1905a
CCTV6电影国外,http://nas.jqcykj.com:88/1905/?id=1905b
经典香港电影,http://nas.jqcykj.com:30/6257088/72037
抗战经典影片,http://nas.jqcykj.com:30/617432318
新片放映厅,http://nas.jqcykj.com:30/619495952
老故事,http://nas.jqcykj.com:30/884121956
中学生,http://nas.jqcykj.com:30/708869532
CHC影迷电影,http://nas.jqcykj.com:30/952383261
和美乡途轮播台,http://nas.jqcykj.com:30/713591450
高清大片,http://nas.jqcykj.com:30/629943678
南方影视,http://nas.jqcykj.com:30/614961829
血色山河·抗日战争影像志,http://nas.jqcykj.com:30/713600957
最强综艺趴,http://nas.jqcykj.com:30/629942228
嘉佳卡通,http://nas.jqcykj.com:30/614952364
经典动画大集合,http://nas.jqcykj.com:30/629942219
新动力量创一流,http://nas.jqcykj.com:30/713589837
环球旅游,http://nas.jqcykj.com:30/958475356
钱塘江,http://nas.jqcykj.com:30/647370520
五环传奇,http://nas.jqcykj.com:30/707671890
赛事最经典,http://nas.jqcykj.com:30/646596895
掼蛋精英赛,http://nas.jqcykj.com:30/631354620
体坛名栏汇,http://nas.jqcykj.com:30/6299488/72005
四海钓鱼,http://nas.jqcykj.com:30/637444975
咪咕24小时体育台,http://nas.jqcykj.com:30/654102378
24小时城市联赛轮播台,http://nas.jqcykj.com:30/915512915
武术世界,http://nas.jqcykj.com:30/958475359

//北京
北京卫视,http://nas.jqcykj.com:88/bj?id=bjws
北京卫视4k,http://nas.jqcykj.com:88/bj?id=bjws4k
北京文艺,http://nas.jqcykj.com:88/bj?id=btvwy
北京纪实科教,http://nas.jqcykj.com:88/bj?id=btvkj
北京影视,http://nas.jqcykj.com:88/bj?id=btvys
北京财经,http://nas.jqcykj.com:88/bj?id=btvcj
北京体育休闲,http://nas.jqcykj.com:88/bj?id=btvjs
北京生活,http://nas.jqcykj.com:88/bj?id=btvsh
北京新闻,http://nas.jqcykj.com:88/bj?id=btvxw
北京卡酷少儿,http://nas.jqcykj.com:88/bj?id=kaku
昌平综合,http://nas.jqcykj.com:88/gdy?id=changping
//天津
天津新闻,http://107.150.60.122/live/tjtv1.m3u8
天津文艺,http://107.150.60.122/live/tjtv2.m3u8
天津影视,http://107.150.60.122/live/tjtv3.m3u8
天津都市,http://107.150.60.122/live/tjtv4.m3u8
天津体育,http://107.150.60.122/live/tjtv5.m3u8
天津教育,http://107.150.60.122/live/tjtv6.m3u8
//上海
东方卫视,http://nas.jqcykj.com:88/shanghai/?id=dfws
东方卫视4K,http://nas.jqcykj.com:88/shanghai/?id=dfws4k
上海卫视,http://nas.jqcykj.com:88/shanghai/?id=ash
上海新闻综合,http://nas.jqcykj.com:88/shanghai/?id=shxwzh
上海都市频道,http://nas.jqcykj.com:88/shanghai/?id=shds
上海纪实人文,http://nas.jqcykj.com:88/shanghai/?id=jsxw
纪实频道,http://nas.jqcykj.com:88/shanghai/?id=jsxt
第一财经,http://nas.jqcykj.com:88/shanghai/?id=21
五星体育,http://nas.jqcykj.com:88/shanghai/?id=wxty
东方财经,http://nas.jqcykj.com:88/shanghai/?id=dfcj
看看新闻,http://nas.jqcykj.com:88/shanghai/?id=mdy
东方影视,http://nas.jqcykj.com:88/shanghai/?id=dfys
ICS 外语频道,http://nas.jqcykj.com:88/shanghai/?id=ics
上海教育,http://nas.jqcykj.com:88/shanghai/?id=shjy
动漫秀场,http://nas.jqcykj.com:88/shanghai/?id=dmtd
东方卫视4K,http://59.110.175.70:10001/df4k.php?id=2030
上海新闻综合,http://59.110.175.70:10001/df4k.php?id=20
上海都市频道,http://59.110.175.70:10001/df4k.php?id=18
上海新纪实,http://59.110.175.70:10001/df4k.php?id=1600
上海五星体育,http://59.110.175.70:10001/df4k.php?id=1605
魔都眼,http://59.110.175.70:10001/df4k.php?id=1601
爱上海,http://59.110.175.70:10001/df4k.php?id=2029
上海第一财经,http://59.110.175.70:10001/df4k.php?id=21
上海新闻综合,http://120.253.150.222:60000/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
上海东方卫视,http://120.253.150.222:60000/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
上海都市频道,http://120.253.150.222:60000/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
上海东方影视,http://120.253.150.222:60000/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
上海第一财经,http://120.253.150.222:60000/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
上海五星体育,http://120.253.150.222:60000/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
上海东方财经,http://120.253.150.222:60000/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
上海哈哈炫动,http://120.253.150.222:60000/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
上海教育台,http://120.253.150.222:60000/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
上海法治天地,http://120.253.150.222:60000/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
上海金色学堂,http://120.253.150.222:60000/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0

//重庆
重庆新闻,http://8.138.7.223/tv/cbg?id=3#http://8.138.7.223/tv/cbg2
巴南综合,http://live.cqbntv.com/bnmc/tv0709.m3u8
璧山综合,http://222.179.42.129:8181/hls1.m3u8
垫江综合,http://8.138.7.223/tv/quklive?id=1
垫江综合,http://125.62.24.185:80/1.m3u8
涪陵电视台,http://183.64.215.48:1002/1.m3u8
合川电视台,https://yypull.cbg.cn/applive/hechuantv1/playlist.m3u8
江津电视台,http://222.179.155.21:1935/ch1.m3u8
梁平综合,https://yypull.cbg.cn/applive/lplive01/playlist.m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
铜梁综合,https://tlpc01.cqliving.com/ch1.m3u8
铜梁综合,http://183.64.174.171:40123/ch1.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
武隆综合,https://yypull.cbg.cn/applive/wltvzh/playlist.m3u8
万盛综合,https://yypull.cbg.cn/applive/wslive01/playlist.m3u8
万州新闻综合,https://wanzhoulive.cbg.cn/iTXwrGs/800/live.m3u8
万州新闻综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
万州三峡移民,https://wanzhoulive.cbg.cn/c2F0hmi/1000/live.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
永川综合,https://yypull.cbg.cn/applive/yctv01/playlist.m3u8
酉阳综合,https://yypull.cbg.cn/applive/youytv01/playlist.m3u8
忠县综合,https://yypull.cbg.cn/applive/zxtv2/playlist.m3u8
巴南综合,http://live.cqbntv.com/bnmc/tv0709.m3u8
垫江综合,http://playsh.quklive.com/live/1672366847646284.m3u8
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
铜梁综合,https://tlpc01.cqliving.com/ch1.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
//河北
河北卫视,http://nas.jqcykj.com:88/hebei/?id=hbws
河北都市频道,http://nas.jqcykj.com:88/hebei/?id=hbds
河北少儿科教,http://nas.jqcykj.com:88/hebei/?id=hbse
河北4K频道,http://nas.jqcykj.com:88/hebei/?id=hb4k
