smt,#genre#
KBS World,http://96.44.160.246:9999/smt.php?id=KBS
Sony HD,http://96.44.160.246:9999/smt.php?id=SetOne
AEC,http://96.44.160.246:9999/smt.php?id=AEC
AOD,http://96.44.160.246:9999/smt.php?id=Aodhd
华丽台 HD (Wah Lai Toi),http://96.44.160.246:9999/smt.php?id=Wlt
欢喜台 HD(Hua Hee Tai),http://96.44.160.246:9999/smt.php?id=Huahee
Astro QJ,http://96.44.160.246:9999/smt.php?id=Quanjia
TVB Jade,http://96.44.160.246:9999/smt.php?id=Tvbjade
爱奇艺 iQiyi,http://96.44.160.246:9999/smt.php?id=Qiyi
TVB 星河台  Xing He,http://96.44.160.246:9999/smt.php?id=Xinhe
Discovery Asia,http://96.44.160.246:9999/smt.php?id=Discoveryasia
Dmax,http://96.44.160.246:9999/smt.php?id=Dmax
Celestial Movies HD,http://96.44.160.246:9999/smt.php?id=Celestial
Astro LOL,http://96.44.160.246:9999/smt.php?id=Astro_lol
TVRi National,http://96.44.160.246:9999/smt.php?id=TVRI
